Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,PetScannerChip,PetScannerSerial,AnswerCode,Organization,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,Accuracy,nombre de chien ,photo ,photo,animal loc_lat,animal loc_lon,collier ,couleur collier ,sexe ,âge,couleur ,date,remarque ,deja_vu,Gardien
Jun,27/06/2024,1:31 PM,27/06/2024,-18.907829,47.5533043,,,C-270624133037-21259-7,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,3.9,,Madagascar_Comptages_1719484256246.jpg,Madagascar_Comptages_1719484270266.jpg,-18.907829,47.5533043,non,,mâle ,< 6 mois,gris,27/06/2024,zanany,,
Jun,27/06/2024,1:30 PM,27/06/2024,-18.9082111,47.5534766,,,C-270624132812-21259-6,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,8.203,,Madagascar_Comptages_1719484162190.jpg,Madagascar_Comptages_1719484187478.jpg,-18.9081914,47.5534038,non,,femelle ,3 - 5 ans ,"Blanc,noire",27/06/2024,Reniny mampinono,,
Jun,27/06/2024,1:26 PM,27/06/2024,-18.9078917,47.5529084,,,C-270624132505-21259-5,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,8.743,,Madagascar_Comptages_1719483924740.jpg,Madagascar_Comptages_1719483941925.jpg,-18.9078917,47.5529084,non,,femelle ,1 à 3  ans,"Blanc,sable charbonné",27/06/2024,misy kongona,,
Jun,27/06/2024,1:24 PM,27/06/2024,-18.9077013,47.5531863,,,C-270624132404-21259-4,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,34.011,,Madagascar_Comptages_1719483859917.jpg,Madagascar_Comptages_1719483868731.jpg,-18.9077013,47.5531863,non,,femelle ,1 à 3  ans,Blanc,27/06/2024,,,
Jun,27/06/2024,1:23 PM,27/06/2024,-18.9077233,47.5530678,,,C-270624132254-21259-3,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,4.372,,Madagascar_Comptages_1719483808961.jpg,Madagascar_Comptages_1719483817173.jpg,-18.9077233,47.5530678,non,,mâle ,1 à 3  ans,Fauve charbonné (Feu),27/06/2024,,,
Jun,27/06/2024,1:15 PM,27/06/2024,-18.9068111,47.5529566,,,C-270624131344-21259-2,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,4.106,,Madagascar_Comptages_1719483236707.jpg,Madagascar_Comptages_1719483259006.jpg,-18.90672358,47.55307071,non,,mâle ,3 - 5 ans ,fauve roux,27/06/2024,,,
Jun,27/06/2024,1:10 PM,27/06/2024,-18.906704,47.5536259,,,C-270624105123-21259-4,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe8,Comptage chien errant ,Dog,,No,3.808,,Madagascar_Comptages_1719482970876.jpg,Madagascar_Comptages_1719482984040.jpg,-18.9018165,47.5424279,non,,mâle ,3 - 5 ans ,noire,27/06/2024,bory rambo,,
Jun,27/06/2024,1:26 PM,27/06/2024,-18.9096059,47.5589607,,,C-270624132458-21035-13,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483910968.jpg,Madagascar_Comptages_1719483925235.jpg,-18.90963597,47.55888138,non,,femelle ,1 à 3  ans,noire,27/06/2024,,,
Jun,27/06/2024,1:23 PM,27/06/2024,-18.9092393,47.5591917,,,C-270624132211-21035-12,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483748937.jpg,Madagascar_Comptages_1719483759577.jpg,-18.90913641,47.55926393,non,,mâle ,1 à 3  ans,marron,27/06/2024,,,
Jun,27/06/2024,1:22 PM,27/06/2024,-18.9091767,47.5592756,,,C-270624132058-21035-11,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483673113.jpg,Madagascar_Comptages_1719483686444.jpg,-18.90917986,47.55925622,non,,femelle ,1 à 3  ans,Blanc,27/06/2024,,,
Jun,27/06/2024,1:20 PM,27/06/2024,-18.9090377,47.5591264,,,C-270624131933-21035-10,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719483592879.jpg,Madagascar_Comptages_1719483606427.jpg,-18.90917542,47.5592294,non,,mâle ,6 mois à 1 an ,Blanc,27/06/2024,,,
Jun,27/06/2024,1:08 PM,27/06/2024,-18.9085709,47.5588186,,,C-270624130700-21035-9,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719482835044.jpg,Madagascar_Comptages_1719482849502.jpg,-18.90865968,47.55882036,non,,femelle ,1 à 3  ans,noire,27/06/2024,,,
Jun,27/06/2024,1:02 PM,27/06/2024,-18.9060008,47.5605305,,,C-270624130106-21035-8,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719482481272.jpg,Madagascar_Comptages_1719482491218.jpg,-18.90620656,47.56063119,non,,femelle ,1 à 3  ans,noire,27/06/2024,,,
Jun,27/06/2024,12:50 PM,27/06/2024,-18.9062818,47.5596659,,,C-270624124851-21035-7,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719481754158.jpg,Madagascar_Comptages_1719481763857.jpg,-18.90630997,47.55965654,non,,femelle ,6 mois à 1 an ,noire,27/06/2024,,,
Jun,27/06/2024,12:48 PM,27/06/2024,-18.9061297,47.5597067,,,C-270624124711-21035-6,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719481651253.jpg,Madagascar_Comptages_1719481666202.jpg,-18.90627191,47.55966123,non,,femelle ,3 - 5 ans ,Autre,27/06/2024,,,
Jun,27/06/2024,12:46 PM,27/06/2024,-18.9054909,47.5596243,,,C-270624124457-21035-5,CIRAD Madagascar,Antananarivo,Madagascar Comptages,Equipe 1,Comptage chien errant ,Dog,,No,0,,Madagascar_Comptages_1719481510331.jpg,Madagascar_Comptages_1719481533856.jpg,-18.90696464,47.55999785,non,,mâle ,> 5 ans ,gris,27/06/2024,,,
