"","fid","id_transect","Name","fkt","tr_lengh","tr_area","green","industrial","urban","water","name_transect","sum","p_water","p_green","p_industrial","p_urban","sum_check","id_fkt","Seclasse","length","area_real","area_admin","percentage covared","pcc_bac","pcc_total","population","index1","index2","pop_dens_s","area_s","pcc_s","length_s"
"47",497,47,"Andraharo Equipe05","Andraharo",1546,93426,4591.07878590068,6540.20772768621,22419.8882481915,170.930488640442,"Andraharo Equipe05",33722.1052504188,0.00506879648738181,0.136144488957837,0.193944229730585,0.664842484824196,1,9,"Pauvre",4029.492,265304,598928.582,0.442964333,2,9,2627,-0.76176293000082,-0.958170181500907,-1.10872648908781,-1.0782033488226,-0.172244675365849,-1.26003563119234
"48",577,48,"Andraharo Equipe07","Andraharo",893,56761,7457.30497480197,3827.03661200718,8616.11385173764,585.335030653456,"Andraharo Equipe07",20485.7904692002,0.0285727334531459,0.36402329634357,0.186814202642608,0.420589767560676,1,9,"Pauvre",4029.492,265304,598928.582,0.442964333,2,9,2627,1.71009422453631,-1.367331052162,-1.10872648908781,-1.0782033488226,-0.172244675365849,-1.26003563119234
"49",499,49,"Andraharo Equipe08","Andraharo",1619,93569,16211.9340826613,2275.66941106801,14291.8301048399,993.666741550227,"Andraharo Equipe08",33773.1003401195,0.0294218396162415,0.480025047135012,0.0673811224954292,0.423171990753317,1,9,"Pauvre",4029.492,265304,598928.582,0.442964333,2,9,2627,3.6116768755642,1.49968816860915,-1.10872648908781,-1.0782033488226,-0.172244675365849,-1.26003563119234
"50",436,50,"Andraisoro Equipe01","Andraisoro",2777,157973,17637.2782851834,5559.88658009077,33403.0711724633,433.799469544822,"Andraisoro Equipe01",57034.0355072824,0.00760597537394022,0.309241282478275,0.0974836609515534,0.585669081196232,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,1.50583870694585,1.67617710541737,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
"51",451,51,"Andraisoro Equipe02","Andraisoro",2041,110352,5320.60759481429,5733.74691051899,28495.8565893338,289.372272670269,"Andraisoro Equipe02",39839.5833673373,0.00726343621624097,0.133550784047014,0.143920855237152,0.715264924499593,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,-0.383580970631541,-0.205928423599757,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
"52",435,52,"Andraisoro Equipe03","Andraisoro",1742,96654,4245.96475730073,5630.05345914814,24399.7835904801,617.209893915802,"Andraisoro Equipe03",34893.0117008448,0.0176886391810329,0.121685247283998,0.161351892104281,0.699274221430688,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,-0.430839661979723,-1.44035149725898,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
"53",582,53,"Andraisoro Equipe04","Andraisoro",1436,79622,5743.55760451022,4262.45493507014,18580.2672200035,160.974806845902,"Andraisoro Equipe04",28747.2545664297,0.00559965844647594,0.199794995770392,0.148273461217675,0.646331884565457,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,0.138891590803639,0.235149148028116,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
"54",452,54,"Andraisoro Equipe05","Andraisoro",1297,62699,3146.65077451847,2778.8845983664,16471.5523131473,238.116279512644,"Andraisoro Equipe05",22635.2039655448,0.0105197320013154,0.139015790593638,0.122768259680647,0.7276962177244,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,-0.124907073000808,-0.0359035122195937,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
"55",437,55,"Andraisoro Equipe06","Andraisoro",1472,82330,5707.77687317245,3286.32342525979,20522.3071835074,207.240115039167,"Andraisoro Equipe06",29723.6475969788,0.0069722302541439,0.192028143738072,0.110562588744789,0.690437037262995,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,0.36785662140513,0.790644171994468,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
"56",443,56,"Andraisoro Equipe07","Andraisoro",1478,81307,3250.27523651463,4772.75031673766,21231.478009736,97.9581328481436,"Andraisoro Equipe07",29352.4616958364,0.00333730553379919,0.110732628499628,0.162601364280621,0.723328701685952,1,10,"Pauvre",17226.942,992061,1240938.446,0.799444165,9,33,22319,-0.788932814527833,-0.377728321435346,-0.187402618970361,1.71058206231557,2.67677536041523,1.5304404997266
